Gene,n_links,max_r
Zm00001d035212,670,0.8284821309712449
Zm00001d036956,636,0.8779827054453558
Zm00001d007768,610,0.8934430826327007
Zm00001d035381,552,0.8589555399268561
Zm00001d022060,524,0.8981992841798566
Zm00001d053997,518,0.8477332575851192
Zm00001d045951,514,0.8342305723609044
Zm00001d047366,486,0.877447214885758
Zm00001d031323,485,0.9176921186336702
Zm00001d044442,482,0.8828999181663417
Zm00001d018786,474,0.8630495755848088
Zm00001d049769,455,0.8461999706195137
Zm00001d034496,425,0.8562696095482365
Zm00001d045497,413,0.8712631952415205
Zm00001d002836,412,0.8734307823274463
Zm00001d013565,397,0.8840210110233516
Zm00001d027967,395,0.8204011839180384
Zm00001d018297,387,0.832331094221371
Zm00001d048083,377,0.8598146283745863
Zm00001d043762,360,0.8828062113546956
Zm00001d009844,348,0.8695375970248024
Zm00001d006196,345,0.8371380993626272
Zm00001d033109,339,0.8691372390045753
Zm00001d026445,338,0.854651907903986
Zm00001d037388,336,0.8841084388204329
Zm00001d042727,332,0.9009927841886275
Zm00001d034359,329,0.9454029938236584
Zm00001d026448,325,0.8319896212629573
Zm00001d012708,303,0.8373198030827602
Zm00001d012140,291,0.9104791165860249
Zm00001d026671,291,0.8296017518490565
Zm00001d029342,280,0.8659721195239058
Zm00001d021879,275,0.8708741793653215
Zm00001d000294,270,0.866668208514825
Zm00001d013429,268,0.9101430666734133
Zm00001d013385,267,0.8799483029648102
Zm00001d016271,261,0.8980910324538125
Zm00001d042969,260,0.8854813634743682
Zm00001d046455,259,0.8479596670956091
Zm00001d008619,258,0.8845274689084721
Zm00001d016956,253,0.8672616453505578
Zm00001d051238,253,0.8468044382238918
Zm00001d053715,250,0.7966854639105277
Zm00001d035413,249,0.8606680974103251
Zm00001d039982,244,0.8229379124230604
Zm00001d015293,244,0.7873753793305969
Zm00001d051288,238,0.8554225608236145
Zm00001d022619,237,0.8376973479040681
Zm00001d008283,236,0.8648049352651981
Zm00001d001773,235,0.7969970471737007
ENSRNA049475596,226,0.850482821570419
Zm00001d036543,226,0.8095305870901462
Zm00001d019221,224,0.810833965854806
Zm00001d027570,223,0.7962454642507786
Zm00001d032989,222,0.8193566840274245
Zm00001d045540,220,0.8244990778072282
Zm00001d034497,219,0.8995703756662721
Zm00001d037233,219,0.8827849325278176
Zm00001d034624,212,0.8792632535259411
Zm00001d012476,212,0.8597383798815038
Zm00001d026387,206,0.8997997204115312
Zm00001d051424,205,0.8294551078845189
Zm00001d039099,201,0.8934679702888834
Zm00001d038703,199,0.8203875381609584
Zm00001d045667,197,0.828269252527567
Zm00001d022354,195,0.8198790233366559
Zm00001d044382,194,0.8533332982760757
Zm00001d044172,193,0.8443786235260858
Zm00001d006016,193,0.8399911009586724
Zm00001d016918,193,0.8296183566900178
Zm00001d023617,193,0.8095709412253118
Zm00001d018036,188,0.8211768616692765
Zm00001d013276,186,0.8607645610059899
Zm00001d021070,185,0.7972128596663347
Zm00001d013635,183,0.826065764205875
Zm00001d046722,181,0.8365917439850764
Zm00001d019734,180,0.8448432446067567
Zm00001d023579,179,0.8359372048217021
Zm00001d006610,178,0.8356098581710637
Zm00001d011253,178,0.8265201822870953
Zm00001d042779,178,0.8139009436931537
Zm00001d015429,176,0.8140667840917373
Zm00001d017101,175,0.8475708666478343
Zm00001d027283,173,0.8487179136527211
Zm00001d008890,171,0.8271077364069501
Zm00001d023371,169,0.8478360513063206
Zm00001d023431,167,0.821474426217057
Zm00001d037343,164,0.7811187543595174
Zm00001d052010,163,0.7864696900210641
Zm00001d043480,159,0.8157735887593119
Zm00001d026284,158,0.7885891627214672
Zm00001d043178,156,0.8022260872584099
Zm00001d024016,154,0.8145289718130336
Zm00001d008752,154,0.7728660673101145
Zm00001d018699,154,0.7712240008196474
Zm00001d017501,153,0.8470814455261645
Zm00001d027655,153,0.8229484305061034
Zm00001d051913,153,0.8146168548241761
Zm00001d007442,152,0.859589091963386
Zm00001d033130,151,0.8487741101008612
Zm00001d029353,151,0.8292645736422254
Zm00001d014559,150,0.8681402797706629
Zm00001d044497,149,0.830669868317942
Zm00001d009938,149,0.8150782023596903
Zm00001d014953,147,0.8461517885443236
Zm00001d005743,147,0.8299249990055846
Zm00001d032268,147,0.7686690292420235
Zm00001d027257,145,0.8850601597595105
Zm00001d035420,139,0.8794089601349131
Zm00001d026634,139,0.8373194736544239
Zm00001d023529,137,0.8257348833039834
Zm00001d043994,134,0.8377331465228092
Zm00001d031817,134,0.8049878751992185
Zm00001d045581,133,0.8347578089659763
ENSRNA049474888,132,0.8641010848592949
Zm00001d016866,132,0.8150368767461248
Zm00001d024936,129,0.8460503850773677
Zm00001d007500,129,0.8230052119979064
Zm00001d007272,128,0.8493949425756526
Zm00001d049390,128,0.8248221759091229
Zm00001d026479,128,0.804758675007804
Zm00001d053409,128,0.7987354755774917
Zm00001d043752,127,0.8546233873176586
Zm00001d006088,122,0.7847304119520534
Zm00001d014019,120,0.8487036156607863
Zm00001d037004,118,0.8130551991651687
Zm00001d021582,118,0.8076235949208326
Zm00001d027803,114,0.8117135572556621
Zm00001d041715,112,0.8779650593836311
Zm00001d051873,111,0.8225158195768493
Zm00001d021574,111,0.8195672424850955
Zm00001d046263,111,0.798047856557838
Zm00001d028596,111,0.787621601001435
Zm00001d035367,110,0.9053114219602514
Zm00001d027291,110,0.8490703380969798
Zm00001d040748,110,0.7621859960120513
Zm00001d047300,109,0.8179228161805621
Zm00001d005308,109,0.7929974645458546
Zm00001d023213,108,0.8214411503467233
Zm00001d052220,107,0.7573528643023155
Zm00001d009553,106,0.9130219435711884
Zm00001d051563,106,0.7986654473002264
Zm00001d050218,106,0.7859547223486661
Zm00001d039280,106,0.782522702981667
Zm00001d002437,105,0.7813140728826297
Zm00001d036136,104,0.7620209840278864
Zm00001d011610,102,0.8668381109362593
Zm00001d044774,102,0.8130560399023549
Zm00001d034671,101,0.8082399277576683
Zm00001d000077,100,0.7910419464123165
Zm00001d009163,100,0.7658140772081701
Zm00001d017985,100,0.7602600900669337
Zm00001d053453,99,0.8244170364094932
Zm00001d043560,99,0.7968436631450633
Zm00001d020951,97,0.8554874662528895
Zm00001d037760,97,0.8146574537450794
Zm00001d015032,97,0.8035526122608655
Zm00001d000553,97,0.7842700019519522
Zm00001d007760,97,0.7841295251087451
Zm00001d040357,97,0.7840368360785699
Zm00001d026580,97,0.7669961745652476
Zm00001d033259,96,0.8062013084363131
Zm00001d004168,94,0.8864132774370597
Zm00001d029448,94,0.7895333433788626
Zm00001d054070,93,0.8252690925514173
Zm00001d006711,93,0.7819976933127457
Zm00001d011543,93,0.7798876282250308
Zm00001d053070,92,0.8190187803232039
Zm00001d029680,91,0.8073806511845434
Zm00001d044650,91,0.7723443101572254
Zm00001d031309,90,0.8725569347402135
Zm00001d049954,90,0.8611152801162493
Zm00001d050775,90,0.8214992601442807
Zm00001d037557,90,0.7872744375656655
Zm00001d013705,90,0.7744100753080343
Zm00001d016551,88,0.8092389967261895
Zm00001d048950,87,0.8429054208358628
Zm00001d028400,87,0.8151284689062446
Zm00001d003508,87,0.7996669104138904
Zm00001d023481,87,0.7560883794223844
Zm00001d029048,86,0.7574707762174558
Zm00001d004681,85,0.8677476392561019
Zm00001d043767,85,0.803743189060595
Zm00001d035926,85,0.7979345625939085
Zm00001d051687,85,0.7822972481332762
Zm00001d051592,84,0.8270232852836343
Zm00001d049469,84,0.7720716758302865
Zm00001d033149,84,0.7591776932942494
Zm00001d020429,83,0.9045140844587476
Zm00001d040050,82,0.7955164554864236
Zm00001d000116,82,0.7787726507136861
Zm00001d036700,82,0.7499292561784383
Zm00001d023713,80,0.7788674559794053
Zm00001d037200,80,0.747818711201708
Zm00001d043165,79,0.8209725053242294
Zm00001d034404,79,0.7882601765870489
Zm00001d032428,79,0.775465949188234
Zm00001d033139,79,0.7605116678701506
Zm00001d046772,78,0.8624185689253778
Zm00001d027454,78,0.820652129219237
Zm00001d004804,78,0.8189069660651629
Zm00001d051900,78,0.795278340506302
Zm00001d043904,77,0.8160353400181677
Zm00001d051310,77,0.8017082362621099
Zm00001d031332,76,0.8090631177464549
Zm00001d018298,75,0.8405302711440416
Zm00001d015224,75,0.8345182472646399
Zm00001d048373,75,0.8064215385874586
Zm00001d021051,75,0.7949410428430356
Zm00001d002132,75,0.7914856947746813
Zm00001d014138,74,0.8253637696343677
Zm00001d031586,74,0.8061093625392549
Zm00001d038051,74,0.8054617560477962
Zm00001d048604,74,0.7990380836520569
Zm00001d018870,74,0.784681373839727
Zm00001d033710,74,0.7747849357359246
Zm00001d039350,73,0.8432651729213186
Zm00001d028835,73,0.8187239111386948
Zm00001d051267,73,0.778923500785281
Zm00001d020685,72,0.8037064926110311
Zm00001d006771,72,0.7492549823374618
Zm00001d020506,71,0.7803497190012553
Zm00001d028366,71,0.7788282015440747
Zm00001d034801,71,0.7621484949445594
Zm00001d053966,71,0.7577062470641461
Zm00001d041608,70,0.8278042071754812
Zm00001d042035,70,0.81301337501021
Zm00001d003491,70,0.8054869829338923
Zm00001d030670,69,0.8989058291028243
Zm00001d033935,69,0.8327103183979708
Zm00001d028074,69,0.7989453467604583
Zm00001d038288,69,0.7796711360101646
Zm00001d040304,68,0.7938046551184545
Zm00001d020607,68,0.770915554433255
Zm00001d001864,67,0.8430516751847615
Zm00001d009085,67,0.7986288899011473
Zm00001d023216,67,0.7827367068151273
Zm00001d011828,67,0.7747024450521206
Zm00001d027325,66,0.7681031963892976
Zm00001d003352,65,0.8834157461087758
Zm00001d050089,65,0.8015973139178562
Zm00001d048662,65,0.7955062540975061
Zm00001d009727,65,0.7915396776751621
Zm00001d015050,64,0.7682824815530722
Zm00001d028923,63,0.8412363715418227
Zm00001d006010,63,0.7976544847474895
Zm00001d032902,63,0.793775475665917
Zm00001d003950,62,0.7933150338137144
Zm00001d029052,61,0.8226361233107672
Zm00001d048044,61,0.809411265439078
Zm00001d037542,61,0.8002405428197121
Zm00001d012472,61,0.7873784284879566
Zm00001d046961,60,0.8280063649592069
Zm00001d032668,60,0.8165211104202434
Zm00001d043856,60,0.7932354709235674
Zm00001d005489,59,0.8344751130574697
Zm00001d027841,59,0.8254124738886488
Zm00001d028718,58,0.8460444437576352
Zm00001d042150,58,0.8348384773634989
Zm00001d002974,58,0.7865537033059681
Zm00001d021754,57,0.7885370942311699
Zm00001d000195,56,0.8194551569072014
Zm00001d043418,56,0.7760440537762647
Zm00001d036800,56,0.7666047682600623
Zm00001d001856,55,0.8411674017784232
Zm00001d045488,55,0.8050346546471115
Zm00001d043986,54,0.8231598494727698
Zm00001d016591,54,0.7858424877999279
Zm00001d046831,54,0.784201003138104
Zm00001d036761,54,0.7685137106590062
Zm00001d007462,54,0.7611137928330538
Zm00001d015886,54,0.7463594638219888
Zm00001d044748,53,0.8529343671467422
Zm00001d024700,53,0.8166832783162217
Zm00001d008800,53,0.7579027766168774
Zm00001d013516,52,0.8184736560336863
Zm00001d028109,52,0.8017506613261692
Zm00001d048466,51,0.799477770228711
Zm00001d038954,50,0.7901585214530815
Zm00001d037228,50,0.7623412704324877
Zm00001d006125,50,0.7550518666190357
Zm00001d006419,49,0.758290376454688
Zm00001d036765,48,0.8569354904406733
Zm00001d027290,47,0.797768736204581
Zm00001d035428,47,0.7900698207112273
Zm00001d033948,47,0.769261639871358
Zm00001d031898,47,0.759564650094628
Zm00001d036973,46,0.7840156841168007
Zm00001d008462,46,0.7820818991537014
Zm00001d026269,46,0.726639910332569
Zm00001d047522,45,0.8445894169834497
Zm00001d039991,45,0.8244270095289074
Zm00001d029852,45,0.7727737797853497
Zm00001d045220,45,0.7540607087271826
Zm00001d021726,45,0.7529971942332921
Zm00001d011299,44,0.793625401819546
Zm00001d052767,44,0.7878256848862382
Zm00001d021662,44,0.7671466686073214
Zm00001d039407,44,0.7503716536891197
Zm00001d049061,43,0.8087197456676151
Zm00001d032504,43,0.7884151201228197
Zm00001d003148,43,0.7625666185311492
Zm00001d017068,43,0.727487049108338
Zm00001d035356,42,0.8790986169610181
Zm00001d041225,42,0.7914878293130144
Zm00001d012882,42,0.7795398407394724
Zm00001d039640,41,0.8368230179439776
Zm00001d031648,41,0.7800738199593645
Zm00001d033607,41,0.7764837232570504
Zm00001d034823,41,0.7744737049416242
Zm00001d044986,40,0.8351196631970197
Zm00001d018428,40,0.8193992449371148
Zm00001d029525,40,0.7995356372124056
Zm00001d020694,40,0.7354809537112142
Zm00001d045778,40,0.7306315481300483
Zm00001d003693,39,0.8769696840332237
Zm00001d029075,39,0.8028569582055683
Zm00001d001858,39,0.7776366017206476
Zm00001d003301,39,0.7671206845786638
Zm00001d012387,39,0.7571060821054053
Zm00001d047234,38,0.8411194154206658
Zm00001d013294,38,0.8074993589136684
Zm00001d048859,38,0.7847867846048318
Zm00001d047833,38,0.7532360921811704
Zm00001d029490,37,0.8145553806761318
ENSRNA049475591,37,0.7929261341142678
Zm00001d051125,37,0.7399726416972784
Zm00001d020954,36,0.8540574856584587
Zm00001d001770,36,0.7984273664686685
Zm00001d030937,36,0.7786733881531991
Zm00001d001774,36,0.7773706294352135
Zm00001d038908,36,0.7566662757973733
Zm00001d012939,36,0.7552861922109625
Zm00001d018701,36,0.747328772555614
Zm00001d028004,36,0.7368468756935581
Zm00001d039384,35,0.7721980686633334
Zm00001d007349,35,0.7524990873846608
Zm00001d031258,35,0.7431403959283173
Zm00001d029703,35,0.7319290034030373
Zm00001d034872,34,0.8701689367409777
Zm00001d031677,34,0.781820594640002
Zm00001d052261,34,0.7629655678511852
Zm00001d017112,34,0.7615681907996797
Zm00001d018220,34,0.7436318438992032
Zm00001d020614,34,0.7329641457835675
Zm00001d023635,34,0.7243839011147125
Zm00001d044534,33,0.8215236073034423
Zm00001d037160,32,0.8373918779423093
Zm00001d039417,32,0.836200432477159
Zm00001d032220,32,0.7812487085432487
Zm00001d036831,32,0.7725005967023193
Zm00001d017640,31,0.7995736306979345
Zm00001d007037,31,0.7639782007288674
Zm00001d028745,31,0.7433576929568176
Zm00001d049107,30,0.8079618106662533
Zm00001d047387,30,0.7833079911761195
Zm00001d011132,30,0.7774884456474969
Zm00001d038211,30,0.7689277877675672
Zm00001d042158,30,0.7674827581290028
Zm00001d047367,30,0.7638398058433861
Zm00001d036079,30,0.7581750397953829
Zm00001d046661,30,0.7309415251626188
Zm00001d044156,29,0.7654861760574974
Zm00001d038511,29,0.753771221300217
Zm00001d041455,29,0.735871473658716
Zm00001d046765,28,0.8001099459677167
Zm00001d017390,28,0.7973155782127097
Zm00001d004586,28,0.7756406177337886
Zm00001d030114,28,0.7237118979315472
Zm00001d022188,27,0.7726473024750468
Zm00001d034164,27,0.7710593666744937
Zm00001d053416,27,0.7702092877638368
Zm00001d012994,27,0.757791118318247
Zm00001d021414,27,0.7526731025937738
Zm00001d043249,26,0.7595014585341425
Zm00001d032566,26,0.6910811791077489
Zm00001d049223,25,0.8824566643098141
Zm00001d005978,25,0.848331871754171
Zm00001d013094,25,0.8314796792150312
Zm00001d020310,25,0.7698937246835963
Zm00001d026038,25,0.7644649642984926
Zm00001d015127,25,0.7491503434365807
Zm00001d025846,25,0.746288246146074
Zm00001d007245,25,0.745096095911173
Zm00001d044302,24,0.7968062972323424
Zm00001d008843,24,0.7939509989044479
Zm00001d050382,24,0.7926030060946254
Zm00001d034629,24,0.78334758311785
Zm00001d038532,24,0.7765399368577434
Zm00001d053972,24,0.7649114712488696
Zm00001d014773,24,0.7450930382810662
Zm00001d047062,24,0.730796860293934
Zm00001d051753,24,0.7278133445753642
Zm00001d042874,24,0.7070220936225993
